Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
New York,New York,,06/01/2020,69.9,53.3,61.5,,,0,,13.9,21.9,0,,Clear
New York,New York,,06/02/2020,71.5,58.7,66.2,,,0,,17.2,20.8,0,,Clear
New York,New York,,06/03/2020,80,60.2,70.1,,,0,,17.2,26.4,0,87.77,Clear
New York,New York,,06/04/2020,85.2,66.8,74.6,,,0,,8.1,13.9,0,57.89,Clear
New York,New York,,06/05/2020,77.6,68.3,71.8,,,0.47,,10.3,17.2,1.2,92.04,"Rain, Clear"
New York,New York,,06/06/2020,85.4,69.9,76.9,,,0,,21.9,28.9,2.1,96.97,Clear
New York,New York,,06/07/2020,74.6,63.8,70.5,,,0,,23,30,0,,Clear
New York,New York,,06/08/2020,78.2,61.4,69.1,,,0,,11.4,13.9,0,,Clear
New York,New York,,06/09/2020,86.8,64.1,75.8,,,0,,17.2,26.4,0,,Clear
New York,New York,,06/10/2020,80.7,70.8,75.1,,82.6,0,,5.5,13.9,0,58.93,Clear
New York,New York,,06/11/2020,80.7,71.7,74.4,,,0,,18.3,23,0,,Clear
New York,New York,,06/12/2020,82.6,70.4,76.6,,,0,,15,20.8,0,,Clear
New York,New York,,06/13/2020,73.7,61.1,67.4,,,0,,18.3,25.3,0,,Clear
New York,New York,,06/14/2020,70.1,56,62.9,,,0,,15.2,26.4,0,,Clear
New York,New York,,06/15/2020,71.9,61.1,65.6,,,0,,6.9,10.3,0,,Clear
New York,New York,,06/16/2020,73.7,61.4,67,,,0,,14.4,21.9,0,,Clear
New York,New York,,06/17/2020,78,63.8,67.9,,,0,,10.3,15,0,,Clear
New York,New York,,06/18/2020,72.2,63,67.7,,,0,,10.1,18.3,0,,Clear
New York,New York,,06/19/2020,76.2,64.1,69.9,,,0,,2.2,4.7,0,,Clear
New York,New York,,06/20/2020,79.4,69,72.8,,,0,,3.4,11.4,0,,Clear
New York,New York,,06/21/2020,80,68.6,74.3,,,0,,2.4,17.2,0,,Clear
New York,New York,,06/22/2020,83.9,71.3,77.6,,,0,,4.7,16.1,0,,Clear
New York,New York,,06/23/2020,80,72.6,76.6,,,0,,5.9,11.4,0,,Clear
New York,New York,,06/24/2020,82,74.6,78.2,,,0,,16.1,27.7,0,,Clear
New York,New York,,06/25/2020,80,71.7,75.9,,,0,,6.9,27.7,0,,Clear
New York,New York,,06/26/2020,83.9,69.2,76.6,,,0,,12.8,21.9,0,,Clear
New York,New York,,06/27/2020,80,71.9,75.7,,,0,,18.3,21.9,0,,Clear
New York,New York,,06/28/2020,84.9,73.1,77.4,,,0,,4.7,12.8,0,,Clear
New York,New York,,06/29/2020,85.4,72.2,76.7,,,0,,15,19.7,0,,Clear
New York,New York,,06/30/2020,75.1,68.6,71.8,,,0,,12.8,16.1,0,,Clear
New York,New York,,07/01/2020,78.2,65.9,72.4,,,0.01,,2.2,6.9,3.4,71.41,"Rain, Clear"
New York,New York,,07/02/2020,87.2,69,77.8,,,0,,12.8,16.1,3.2,78.45,Clear
New York,New York,,07/03/2020,87.9,72.2,80.4,,,0,,9.3,21.9,0,71.69,Clear
New York,New York,,07/04/2020,83.6,69.5,74.5,,,0,,9.3,15,1.1,80.66,Clear
New York,New York,,07/05/2020,85.4,71.7,78.2,,,0,,15,16.1,0,,Clear
New York,New York,,07/06/2020,89.3,71.9,78.4,,,0,,28.9,38,0,,Clear
New York,New York,,07/07/2020,78.9,72.2,75.7,,,0,,11.8,20.8,1.9,84.82,Clear
New York,New York,,07/08/2020,81.6,74.6,76.9,,,0,,10.3,12.8,0,,Clear
New York,New York,,07/09/2020,83.6,74.4,77.5,,,0,,10.1,17.2,0,,Clear
New York,New York,,07/10/2020,77.6,73.5,75.8,,,0,,38,45,2.1,93.27,Clear
New York,New York,,07/11/2020,86,73.5,77.9,,94.9,0.01,,15,27.7,2.7,83.39,"Rain, Clear"
New York,New York,,07/12/2020,88.1,73.1,80.9,,89.5,0,,16.1,20.8,5.3,52.4,Clear
New York,New York,,07/13/2020,90,72.2,79.8,,90,0,,12.8,17.2,8,47.85,Clear
New York,New York,,07/14/2020,89.1,72,80.7,,89.5,0,,11.4,,14.5,54.38,Clear
New York,New York,,07/15/2020,83.9,73.1,76.8,,86.1,0,,12.8,17.2,28,69.69,Partially cloudy
New York,New York,,07/16/2020,79.1,70.1,74.2,,,0,,11.4,18.3,34.5,67.3,Partially cloudy
New York,New York,,07/17/2020,85.7,70.1,75.9,,,0,,12.8,18.3,10.3,78.02,Clear
New York,New York,,07/18/2020,89.7,74.4,80.6,,,0,,6.9,12.8,0,82.7,Clear
New York,New York,,07/19/2020,91.1,75.8,83.4,,,0,,13.9,21.9,0,,Clear
New York,New York,,07/20/2020,90.8,80.3,85.8,,,0,,14.4,26.4,0,,Clear
New York,New York,,07/21/2020,87.6,79.4,82.9,,82.8,0,,6.7,13.9,0,58.47,Clear
New York,New York,,07/22/2020,92,72.6,81.2,,101,0.38,,11.4,50.6,3.3,72.65,"Rain, Clear"
New York,New York,,07/23/2020,87.2,73.7,78.9,,,0,,13.9,19.7,0,,Clear
New York,New York,,07/24/2020,79.4,73.4,76.2,,,0,,15,17.2,1.1,89.59,Clear
New York,New York,,07/25/2020,86.3,74.4,80,,89.5,0,,9.3,13.9,0,67.37,Clear
New York,New York,,07/26/2020,91.1,76.4,83.7,,96.2,0,,20.8,27.7,0,68.45,Clear
New York,New York,,07/27/2020,92.9,76.2,85.8,,97.8,0,,19.7,26.4,0,46.09,Clear
New York,New York,,07/28/2020,89.3,80.7,84.7,,,0,,19.7,35.8,0,,Clear
New York,New York,,07/29/2020,85.7,77.1,82.2,,86.8,0,,12.8,16.1,0,72.01,Clear
New York,New York,,07/30/2020,92,77.6,84.3,,97.2,0,,9.1,,1,54.8,Clear
New York,New York,,07/31/2020,83.9,71.7,76.1,,87.8,0,,9.1,,17.2,81.95,Clear
New York,New York,,08/01/2020,89.1,73.7,79.7,,90.6,0,,9.1,,4.2,74.95,Clear
New York,New York,,08/02/2020,90,77.1,82.6,,101.6,0,,14.8,19.7,22.2,72.85,Clear
New York,New York,,08/03/2020,91.1,74.9,82,,95.2,0.01,,10.3,20.8,5.8,66.07,"Rain, Clear"
New York,New York,,08/04/2020,80.1,71.7,77,,82.4,0,,19.7,35.8,20.5,77.51,Clear
New York,New York,,08/05/2020,89.1,74.4,80.3,,89.1,0,,11.3,,6.3,64.61,Clear
New York,New York,,08/06/2020,78.5,74.3,76.2,,,0,,6.7,10.3,5.1,67.95,Clear
New York,New York,,08/07/2020,78.9,70.1,74.3,,,0,,13.9,16.1,0,,Clear
New York,New York,,08/08/2020,80.9,72.2,74.8,,,0,,6.7,11.4,0,81.01,Clear
New York,New York,,08/09/2020,88.1,72.1,79.2,,94,0,,16.1,21.9,23.3,74.96,Clear
New York,New York,,08/10/2020,92,75.5,83.3,,99.8,0,,16.1,,14.3,70.33,Clear
New York,New York,,08/11/2020,80.1,78.2,79.1,,84.8,0,,6.9,,0,84.26,Clear
